tweet_id,sentiment,tweet,username


1209165327038390000,Neg,የምታየው ቆጮ መቁረጫ አይደለም,626759971
1201248964869260000,Pos,ብልፅግና ፓርቲ አዲስ ፓርቲ እንጂ የኢሕአዴግ ውህድ አይደለም ኦቦ በቀለ ገርባ ለ ኦ ኤም ኤን የሰጡት አስተያየት,626759971
1201212349534930000,Pos,መሪዬ ጌታ በደሙ ይሸፍንክ ስላንተ ሳስብ ይደክመኛል እንደ ድፎ ዳቦ እሳቱ ነደደብክ በጣም ነው እምታሳዝነኝ ዬethiopia መሪ dr. አብይ አህመድ በፀሎትም በድምፅም ከጎንህ ነኝ,626759971
1201509832836150000,Neg,ለሚሾ አንተ “ ተከብቤአለሁ” በልና አየሩን ይዘህ አዳሜን አፍዝዝ አደንግዘውም። እኔም ይሄ ብልጽግና ፒፒ ከተሳካ መልካም ካልተሳካም ያው…,626759971
1201248222569730000,Neg,እኔ እስካሁን ገርሞኛል፥ ያ መሪያቸው ውጪ ስለሆነ ግራ ተጋብተው ይሆናል,626759971
1201173233288060000,Neg,የጉዞ ማስታወሻ፣ዓፋር   በዓፋር የሚገፕው በኣለም ሞቃታማ ስራ ተብሎ የተሰየመው የኤርታዕሌ እሳተ ገሞራ ለማየት ፍቃድ ካላቸው የጉዞ ወኪሎች ውጪ መጓዝ ኣይመከርም.ጉዞው  ጥንቃቄ የሚፈልግ…,626759971
1201016836353070000,Neg,የመደመር ዓላማ ሀገራችን ባለፉት ዓመታት ያስመዘገበቻቸውን ድሎች ጠብቆና ስህተቶችን አርሞ የመጻኢውን ትውልድ ጥቅም ማረጋገጥ ነው ብለዋል። ክቡር አምባሳደሩ መድረኩ በጋራ ሀገራዊ ጉዳ…,626759971
1201471092558320000,Neg,በጣና ሀይቅ ውስጥ የሚገኙ የተለያዩ ገዳማት በጀልባ በታገዙ ሌቦች በተደጋጋሚ እየተዘረፉ ነው! ለሀገር ዘርፈ ብዙ ጥቅም ሊሰጡ የሚችሉ የአባቶች ጥበብን የያዙ መፅሐፍት የት እ…,626759971
1201310835508830000,Neg,ምንም የለም። የኦሮሞ ህዝብ ከተቀረው የኢትዮጵያ ህዝብ የተለየ ጥያቄና ፍላጎት ሊኖረው አይችልም። ሁለት መልስ አለው። አንዱ የዘውግ ብሔርተኞች ሌላኛው ደግሞ…,626759971
1201203533481210000,Neg,የአሰልጣኞች አስተያየት | ወልቂጤ ከተማ 0-0 ቅዱስ ጊዮርጊስ,626759971
1201221230600310000,Neg,ፀዲ ግን ሙዷ ከባድ ነዉ ???♂️,626759971
1200981527590510000,Neg,እኔ ከውሸታም ይልቅ ደግሞ የወንድ ቆንጆ ይመቸኛል። ሌሎቹ ከፊልም ማጀቢያነት ያለፈ ሚናም ያላቸው አይመስለኝም።  ኦቨርሬትድ ማለት የተሰቀለችበት ጣሪያ አይገባትም ማ…,626759971
1201191107880790000,Neg,የ28 ዓመቱ ከፋፋይ ፣ ጨቋኝና አፋኝና የውክልና ስርዓት ከዛሬ ጀምሮ ላይመለስ ተቀበረ!! እነሆ በህዋህት ምክንያት በኢትዮጵያ ላይ ተጭኖ የነበረው ጥቁር ሸማ ዛሬ በይፋ ተቀደደ፡,626759971
1201428893674220000,Nuet,ኦሮሞ ከኦዴፖ ምንም አይጠብቅም ሄዶ ከሚኒሊክ ሃውልት የምልክት  ኦሮሞ ራሱን በራሱ በልጆቹ ደም ራሱን ነፃ ይወጣል።የኦሮሞ ነፃ መውጠት ሩቅ አይደለም ከማንም ምንም አንጠብቅም,626759971
1201092474212630000,Nuet,አንተ ልጀ ግን በጤናህ ነው ወይስ ላማና አብይ የሚባሉ ሰይጣናት ለከፉህ? ደሞ ስለራስህ ብቻ ለምን ነው የማታወራው? እናከብርሀለን!!! ???? ከነማን ጋር ነው የምታከብረው?,626759971
1201071792653300000,Nuet,እስቲ  አስተማሪ የሚደጋግመውን ቃል የቆጠራችሁ ወይም የምታስታውሱትን?,626759971
1201106489429160000,Nuet,በሲዳማ እና በደቡብ ክልል መካከል ልደረግ ያለው የስልጣን ሽግግር ሆነ ተብሎ ለህዝብ ግልጽ ባልሆነ ምክንያት እየተጓተተ ነው። የስልጣን ሽግግሩ በሚቀጥሉት ጥቅት ቀናት ውስጥ የማይካሄ…,626759971
1201107991916920000,Nuet,ለማ ለሚኮ አብቹ ለሚኮ ትላንት የአንድ ሳንቲም ገፅታ መሆናችሁን አሳያችሁን በፈጣሪም በህዝብ ዘንድ የተወደዳችሁ የተቀናባችሁ ነበራችሁ። እውነት ለሰይጣን እድል…,626759971
1201199131374600000,Nuet,ደህና እግዚአብሄር ይመስገን! እኔ በጣም ደህና ነኝ፡፡ ቤተሰብ ሁሉ ሰላም? :-),626759971
